

                  |¯¯¯|            |¯¯¯¯¯¯¯¯¯¯¯¯¯|  |¯¯¯¯¯¯¯¯¯¯¯¯¯|  |¯¯¯¯¯¯¯¯¯¯¯¯¯|
                  |   |            |             |  |             |  |             |
                  |   |            |   |¯¯¯¯¯|   |  |   |¯¯¯¯¯¯¯¯¯   |    |¯¯¯¯¯¯¯¯ 
                  |   |            |   |     |   |  |   |            |    |________ 
                  |   |            |   |     |   |  |   |   |¯¯¯¯¯|  |             |
                  |   |            |   |     |   |  |   |   |_    |  |_________    |
                  |   |            |   |     |   |  |   |     |   |            |   |
                  |   |_________   |   |_____|   |  |   |_____|   |   _________|   |
                  |             |  |             |  |             |  |             |
                  |_____________|  |_____________|  |_____________|  |_____________|

==============================================================================================================
  DATE     |   DAY   |     TIME     |   TYPE  |                           MESSAGE
==============================================================================================================

                                             FILE NAME VALIDATION
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:19   |   BEG   |   FILE NAME VALIDATION MODULE INITIALIZED
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:19   |   INF   |   RELATED DATA IS LOADED FROM SOURCE OF TRUTH FOR VALIDATION
04/23/21   |   FRI   |   20:29:19   |   CHK   |   GENERATE DIRECTORIES PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:19   |   CHK   |   GENERATE DIRECTORY FOR GOOD DATA INITIALIZED
04/23/21   |   FRI   |   20:29:19   |   INF   |   CHECKING PREVIOUS AVAILABLITY OF DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   DIRECTORY WITH SAME NAME EXISTS
04/23/21   |   FRI   |   20:29:19   |   INF   |   DELETING PREVIOUS DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   PAS   |   GENERATE DIRECTORY FOR GOOD DATA COMPLETED
04/23/21   |   FRI   |   20:29:19   |   CHK   |   GENERATE DIRECTORY FOR BAD DATA INITIALIZED
04/23/21   |   FRI   |   20:29:19   |   INF   |   CHECKING PREVIOUS AVAILABLITY OF DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   DIRECTORY WITH SAME NAME EXISTS
04/23/21   |   FRI   |   20:29:19   |   INF   |   DELETING PREVIOUS FILE
04/23/21   |   FRI   |   20:29:19   |   PAS   |   GENERATE DIRECTORY FOR BAD DATA COMPLETED
04/23/21   |   FRI   |   20:29:19   |   PAS   |   GENERATE DIRECTORIES PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:19   |   CHK   |   FILE NAME CHECKER PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:19   |   INF   |   .DS_STORE IS ADDED IN BAD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   .DS_STORE REJECTED BECAUSE OF IRREGULAR EXPRESSION
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012627.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012627.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012626.CSV SATISFILED ALL VALIDATIONS
